"﻿ORDER_NO";"SCHEDULE_ID";"BUILD_TYPE";"BUILD_SEQ";"PREV_BUILD_SEQ";"NEXT_BUILD_SEQ";"PANE";"COMP";"QTY";"WEIGHT";"MAT_ID";"GLASS_NAME";"STEP_NO";"NEXT_STEP_NO";"PREV_STEP_NO";"STEP_NAME";"PLAN_SEQ";"PLANNED_MACHINE";"WTIME";"CYCLE_TIME";"SCHEDULED_DATE";"PLANNED_SHIFT"
2578713;449740;1;1;2;0;0;0;3;379;"";"";50003;3600;50000;"Сборка второй камеры";50;5051;0.43;0.43;"24.11.2023";1
2578713;449740;1;1;2;0;0;0;3;379;"";"";3600;6100;50003;"Втулки_Герметизация";51;340;0.62;2;"25.11.2023";2
2578713;449740;1;1;2;0;0;0;3;379;"";"";6100;55000;3600;"Сушка пакетов";54;601;0.002;0;"25.11.2023";2
2578713;449740;1;1;2;0;0;0;3;379;"";"";55000;60000;6100;"Ящик";55;5500;0.002;0;"27.11.2023";1
2578713;449740;1;1;2;0;0;0;3;379;"";"";60000;70000;55000;"Упаковка прочая";56;6000;0.004;0;"27.11.2023";1
2578713;449740;1;1;2;0;0;0;3;379;"";"";70000;"";60000;"Погрузка";57;7000;0.017;0.02;"29.11.2023";1
2578713;449740;2;2;0;1;1;0;3;182;32060;"10 Energy Light on Crystalvision";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.213;4;"22.11.2023";2
2578713;449740;2;2;0;1;1;0;3;182;32060;"10 Energy Light on Crystalvision";21001;25000;1110;"МО Обработка кромки";25;2203;0.192;4;"23.11.2023";1
2578713;449740;2;2;0;1;1;0;3;182;32060;"10 Energy Light on Crystalvision";25000;"";21001;"Термообработка";34;2520;0.195;5;"23.11.2023";2
2578713;449740;2;3;0;1;2;0;3;99;24406;"6 Crystalvision Planibel зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1051;0.078;4;"22.11.2023";2
2578713;449740;2;3;0;1;2;0;3;99;24406;"6 Crystalvision Planibel зак";21001;25000;1110;"МО Обработка кромки";25;2160;0.128;4;"23.11.2023";1
2578713;449740;2;3;0;1;2;0;3;99;24406;"6 Crystalvision Planibel зак";25000;"";21001;"Термообработка";34;2520;0.107;5;"23.11.2023";2
2578713;449740;2;4;0;1;3;0;3;99;33946;"6 Top NT on КРИСТАЛВИЖН Зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1000;0.24;4;"22.11.2023";2
2578713;449740;2;4;0;1;3;0;3;99;33946;"6 Top NT on КРИСТАЛВИЖН Зак";21001;25000;1110;"МО Обработка кромки";25;2160;0.128;4;"23.11.2023";1
2578713;449740;2;4;0;1;3;0;3;99;33946;"6 Top NT on КРИСТАЛВИЖН Зак";25000;"";21001;"Термообработка";34;2530;0.118;5;"23.11.2023";2
2578713;449740;3;5;0;1;0;1;3;0;2526;"";40000;"";"";"Гнутье рамки";47;4000;0.108;0.11;"23.11.2023";2
2578713;449740;3;6;0;1;0;2;3;0;2526;"";40000;"";"";"Гнутье рамки";47;4000;0.108;0.11;"23.11.2023";2
