CALENDAR_NR;C_DATE;C_SHIFT;CALENDAR
1038;12.12.2023;2;0
1038;13.12.2023;1;11,98
1038;13.12.2023;2;0
1038;14.12.2023;1;11,98
1038;14.12.2023;2;0
1038;15.12.2023;1;11,98
1038;15.12.2023;2;0
1038;16.12.2023;1;11,98
1038;16.12.2023;2;0
1038;17.12.2023;1;11,98
1038;17.12.2023;2;0
1038;18.12.2023;1;11,98
1038;18.12.2023;2;0
1038;19.12.2023;1;11,98
1038;19.12.2023;2;0
1038;20.12.2023;1;11,98
1038;20.12.2023;2;0
1038;21.12.2023;1;11,98
1038;21.12.2023;2;0
1038;22.12.2023;1;11,98
1038;22.12.2023;2;0
1038;23.12.2023;1;11,98
1038;23.12.2023;2;0
1038;24.12.2023;1;11,98
1038;24.12.2023;2;0
1038;25.12.2023;1;11,98
1038;25.12.2023;2;0
1038;26.12.2023;1;11,98
1038;26.12.2023;2;0
1038;27.12.2023;1;11,98
1038;27.12.2023;2;0
1038;28.12.2023;1;11,98
1038;28.12.2023;2;0
1038;29.12.2023;1;11,98
1038;29.12.2023;2;0
1038;30.12.2023;1;11,98
1038;30.12.2023;2;0
1038;31.12.2023;1;11,98
1038;31.12.2023;2;0
1038;01.01.2024;1;11,98
1038;01.01.2024;2;0
1038;02.01.2024;1;11,98
1038;02.01.2024;2;0
1038;03.01.2024;1;11,98
1038;03.01.2024;2;0
1038;04.01.2024;1;11,98
1038;04.01.2024;2;0
1038;05.01.2024;1;11,98
1038;05.01.2024;2;0
1038;06.01.2024;1;11,98
1038;06.01.2024;2;0
1038;07.01.2024;1;11,98
1038;07.01.2024;2;0
1038;08.01.2024;1;11,98
1038;08.01.2024;2;0
1038;09.01.2024;1;11,98
1038;09.01.2024;2;0
1038;10.01.2024;1;11,98
1038;10.01.2024;2;0
1038;11.01.2024;1;11,98
1038;11.01.2024;2;0
1038;12.01.2024;1;11,98
1038;12.01.2024;2;0
1038;13.01.2024;1;11,98
1038;13.01.2024;2;0
1038;14.01.2024;1;11,98
1038;14.01.2024;2;0
1038;15.01.2024;1;11,98
1038;15.01.2024;2;0
1038;16.01.2024;1;11,98
1038;16.01.2024;2;0
1038;17.01.2024;1;11,98
1038;17.01.2024;2;0
1038;18.01.2024;1;11,98
1038;18.01.2024;2;0
1038;19.01.2024;1;11,98
1038;19.01.2024;2;0
1038;20.01.2024;1;11,98
1038;20.01.2024;2;0
1038;21.01.2024;1;11,98
1038;21.01.2024;2;0
1038;22.01.2024;1;11,98
1038;22.01.2024;2;0
1038;23.01.2024;1;11,98
1038;23.01.2024;2;0
1038;24.01.2024;1;11,98
1038;24.01.2024;2;0
1038;25.01.2024;1;11,98
1038;25.01.2024;2;0
1038;26.01.2024;1;11,98
1038;26.01.2024;2;0
1038;27.01.2024;1;11,98
1038;27.01.2024;2;0
1038;28.01.2024;1;11,98
1038;28.01.2024;2;0
1038;29.01.2024;1;11,98
1038;29.01.2024;2;0
1038;30.01.2024;1;11,98
1038;30.01.2024;2;0
1038;31.01.2024;1;11,98
1038;31.01.2024;2;0
1038;01.02.2024;1;11,98
1038;01.02.2024;2;0
1038;02.02.2024;1;11,98
1038;02.02.2024;2;0
1038;03.02.2024;1;11,98
1038;03.02.2024;2;0
1038;04.02.2024;1;11,98
1038;04.02.2024;2;0
1038;05.02.2024;1;11,98
1038;05.02.2024;2;0
1038;06.02.2024;1;11,98
1038;06.02.2024;2;0
1038;07.02.2024;1;11,98
1038;07.02.2024;2;0
1038;08.02.2024;1;11,98
1038;08.02.2024;2;0
1038;09.02.2024;1;11,98
1038;09.02.2024;2;0
1038;10.02.2024;1;11,98
1038;10.02.2024;2;0
1038;11.02.2024;1;11,98
1038;11.02.2024;2;0
1038;12.02.2024;1;11,98
1038;12.02.2024;2;0
1038;13.02.2024;1;11,98
1038;13.02.2024;2;0
1038;14.02.2024;1;11,98
1038;14.02.2024;2;0
1038;15.02.2024;1;11,98
1038;15.02.2024;2;0
1038;16.02.2024;1;11,98
